,Rank,Title,Worldwide Lifetime Gross,Domestic Lifetime Gross,Domestic %,Foreign Lifetime Gross,Foreign %,Year
301,302,Alita: Battle Angel,404852543.0,85710210.0,21.2,319142333.0,78.8,2019
302,303,Toy Story,404265438.0,222498679.0,55.0,181766759.0,45.0,1995
303,304,The Mummy: Tomb of the Dragon Emperor,403449830.0,102491776.0,25.4,300958054.0,74.6,2008
304,305,Prometheus,403354469.0,126477084.0,31.4,276877385.0,68.6,2012
305,306,Gone with the Wind,402352579.0,200852579.0,49.9,201500000.0,50.1,1939
306,307,TRON: Legacy,400062763.0,172062763.0,43.0,228000000.0,57.0,2010
307,308,Mission: Impossible III,398479497.0,134029801.0,33.6,264449696.0,66.4,2005
308,309,Grease,396961563.0,189969103.0,47.9,206992460.0,52.1,1978
309,310,Snow White and the Huntsman,396592829.0,155332381.0,39.2,241260448.0,60.8,2012
310,311,Mamma Mia! Here We Go Again,395044706.0,120634935.0,30.5,274409771.0,69.5,2018
